Diehard test for Large m


#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                /tmp/tmp8j9xordn|  1.01e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  19|   1000000|     100|0.46614657|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.71957118|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.55545192|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.46245390|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.89223036|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.23070717|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.97537393|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.94393289|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.51749620|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.55937122|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.30097866|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.99394376|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.59414690|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.36092910|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.89174678|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.57890110|  PASSED  
             dab_dct| 256|     50000|       1|0.78055889|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.20862749|  PASSED  
        dab_filltree|  32|  15000000|       1|0.56051525|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.30286530|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.62320764|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.79578451|  PASSED  



Diehard test for Small m


#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                /tmp/tmpfqsukm5m|  9.88e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.91202429|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.46714285|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.97518923|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.07319336|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.83772849|  PASSED  
        diehard_opso|   0|   2097152|     100|0.91627948|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.98997113|  PASSED  
         diehard_dna|   0|   2097152|     100|0.01487051|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.79330666|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.33044581|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.66333706|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.31438903|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.81132671|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.96772919|  PASSED  
        diehard_sums|   0|       100|     100|0.05404764|  PASSED  
